name,shape,unfold_method_used,z_r_statistic_mean,r_statistic_mean,z_nn_KS_GOE,nn_KS_GOE,z_brody_beta,brody_beta,z_delta3_L5,delta3_L5,z_delta3_L10,delta3_L10,z_delta3_L50,delta3_L50,z_sigma2_L5,sigma2_L5,z_sigma2_L10,sigma2_L10,z_sigma2_L20,sigma2_L20,z_pt_frac_random,pt_frac_random,z_pt_p_mean,pt_p_mean
model.layers.8.self_attn.o_proj.weight,4096x4096,cheb,0.060182954854425465,0.5316051322000572,-0.6535874068011351,0.010406735668305633,0.7373766566727128,0.9808054529409986,-0.7834116445697517,0.17188490657295766,-1.4765462825723776,0.2300248524229972,-0.2240329242674847,0.3857143152273622,-1.4474939540702834,0.7374749493750024,-0.5561337670791229,0.8811877500000094,0.9034821928340377,1.0779740464000156,-8.289444602335276,0.8173828125,-12.337733444947643,0.3354937079476267
model.layers.8.mlp.gate_proj.weight,14336x4096,cheb,-1.2617714116985972,0.52549634851345,1.7760622292634634,0.018542277548527608,-0.16705187055571843,0.9500072628304449,1.2043325296488379,0.17630088515572342,0.8032332883772714,0.2378220020262961,2.229849948326148,0.41515296861958073,8.141631452569298,0.8996253609750013,12.834883292782845,1.3092407899999898,10.849592396538068,1.546326956400037,-1.5056917345299528,0.91015625,-3.518997907646003,0.453326247120749
model.layers.8.mlp.up_proj.weight,14336x4096,cheb,1.939856392595592,0.539209456921869,-1.4800381205527124,0.008288317056803246,1.5618348609515331,0.9866057764793402,-1.550114041106689,0.17070607307378463,-1.1346126347447736,0.23055720575032268,-1.1268699167304306,0.37605356755001446,-0.20360162357825085,0.7627399323999988,0.19120373898245172,0.9110066710999973,0.43977412023826773,1.0644425099749242,-1.9737569006960058,0.90087890625,-4.293018075279741,0.4425497671502622
model.layers.8.mlp.down_proj.weight,4096x14336,cheb,0.5046978533750871,0.5336644598214305,-1.7343707998230655,0.007521564195228259,1.2886401486775083,0.9967938946652876,-0.7672890831456328,0.1713136320191568,-0.771311671663601,0.2310361213694028,-1.1148835121061706,0.37531719608462727,0.16640446493420852,0.7675974719000003,0.954710549463128,0.9311338443749975,0.9065070042693051,1.081627907974962,-14.699805073732426,0.755859375,-16.714460326704675,0.22588404253088934
model.layers.16.self_attn.q_proj.weight,4096x4096,cheb,-1.3303560825313328,0.5240166976576549,1.8863674513416875,0.018811057385138413,-0.9391494767891422,0.9321868463065206,1.0048942453541745,0.17655139626650107,0.7115369228897681,0.23917259079528125,2.0786529226958907,0.41286096396816846,1.237013863388638,0.7955466774999955,1.6306041342484638,0.9546154256000108,1.2979669848127928,1.0974181747749867,-1.0387804150403428,0.93994140625,-3.9558964782900246,0.4567135148166205
model.layers.16.self_attn.k_proj.weight,1024x4096,cheb,3.333960328229038,0.559954457014333,2.8685322360178276,0.03656917983918527,4.680741361677122,1.1684875161050154,-4.582383909470061,0.15570001687159266,-4.38181958638808,0.20555413836999867,-2.4985521214537427,0.34437084473174295,-1.7602514619097065,0.7024173430999952,-1.8055494368269918,0.8032028547750087,-1.4621190508857838,0.9038049987750014,-1.9300943153129444,0.9326171875,-1.8446345999363272,0.4769879149085839
model.layers.16.self_attn.v_proj.weight,1024x4096,cheb,1.7418011734072913,0.5464577373465226,-0.3733681362965961,0.020523997370417824,1.6339646509952768,1.029683662423413,-1.4616205552530115,0.16855122090707558,-0.3484540513626806,0.23320590604671276,-0.5202792257468515,0.38157660704954166,0.5877441089531408,0.7810036659749997,-0.5158938820625643,0.876036158399998,0.29215484835173655,1.050849594374938,-3.3003438292268057,0.9189453125,-4.998128475959562,0.43789613626278073
model.layers.16.self_attn.o_proj.weight,4096x4096,cheb,0.6516487284880884,0.5348328728003704,-1.3413996027253212,0.008130870427324632,1.3811580502671323,0.9994748632824482,-0.8253118393291697,0.17177557022949205,-1.4930411524673652,0.22995589217783488,0.39916439348219956,0.39306126561726157,-0.7578243105963683,0.7523940000000024,0.5254984940050659,0.9175074857750047,0.1257800915639527,1.0396411630999296,-24.639547909143772,0.541015625,-21.73993405135615,0.19951719752560865
model.layers.16.mlp.gate_proj.weight,14336x4096,cheb,1.2762782632891843,0.5363672405929035,0.5256286729794922,0.014604470077579701,1.392345466377198,0.9830178838732908,-1.4188179456576813,0.17097276075940854,-0.39349083046047917,0.23333559946035148,-0.3054063655487127,0.3856220552829468,0.19382979638477593,0.7692589319000014,0.1851765669298483,0.9108168350999932,1.8598447071339788,1.1301794815999529,-1.6165492738850706,0.907958984375,-2.628352448997698,0.4657264704576559
model.layers.16.mlp.up_proj.weight,14336x4096,cheb,-1.520650908030197,0.5243875242481338,3.8427425263375,0.02505057147024864,-1.8888865920641724,0.9135580320000765,1.136763659852057,0.17616363975292068,0.7002429508686654,0.23743590124735062,-0.2413217218788938,0.3863685194759617,0.9545331669051053,0.7817366189750032,0.8350034538069847,0.9312842343750134,0.8617778481453625,1.0839776284000777,-1.862899361340888,0.903076171875,-3.3988873693370016,0.45499851467197877
model.layers.16.mlp.down_proj.weight,4096x14336,cheb,-0.18115066049636197,0.5302593773101897,0.441547954845792,0.01472597302374934,0.04423343945457084,0.9598692923210997,-0.3959388964210029,0.17228013036860856,0.6195589397808248,0.23675736993205548,3.1851790991804623,0.42521214870589563,1.6982931580189458,0.8018347449749967,1.8091469568135428,0.9574148877750162,2.1992418076818616,1.1487167600000134,-15.631552190202742,0.742919921875,-14.557613722598818,0.2621034705147431
model.layers.24.self_attn.q_proj.weight,4096x4096,cheb,0.29215772945585133,0.5328710624222399,0.3891183022120255,0.01385688920407846,-0.22076272240395153,0.9530197831309245,-0.056077170700176274,0.17378284743709896,-0.2043729616136674,0.23534343842341945,0.3721999526348795,0.3927433784833567,0.5858153092382301,0.7814598400000001,1.6578118022483406,0.9555290219750106,1.185813536196221,1.0918901389750317,-1.067667523356259,0.939453125,-1.951629442944453,0.4856996265609728
model.layers.24.self_attn.k_proj.weight,1024x4096,cheb,-1.0395225292411037,0.5228804798805222,2.651460488285429,0.035494823627956584,-1.6353952467091628,0.8807394515521446,1.0620607843717702,0.17894366023517572,1.4481044314813594,0.24552267162469812,2.153676336764205,0.43186620830882233,3.287799548133377,0.8713732693749989,2.353837518491804,1.0381042529750033,2.598562913509577,1.2441745029749995,-3.0067189333881212,0.921875,-2.6551105094013194,0.4669409809058086
model.layers.24.self_attn.v_proj.weight,1024x4096,cheb,1.6984455314169187,0.5460902119366476,0.21460392295089734,0.02343405563677592,0.6953734434056031,0.9869236937692085,-1.598342267887822,0.16798820525169872,-0.9163197298227004,0.22931275783686245,-1.49682838268052,0.36321045751407127,-0.6134578459859443,0.740799993599996,-1.5634675516236791,0.8168744303999773,-1.250901994142025,0.9215093759000297,-2.1258442458720674,0.9306640625,-4.3772216381352935,0.44559310781818484
model.layers.24.self_attn.o_proj.weight,4096x4096,cheb,0.07958360461077066,0.5317110052153398,1.0596534127820842,0.016075587215027887,-0.6938521710958534,0.9393003728874474,1.509140393627747,0.17786719993699487,0.3993558799595033,0.23786745281040755,-0.16417764097700388,0.386419956577836,-0.03085848769462186,0.7681198478999995,0.029831919897727918,0.9008636784000004,-0.8458535639541847,0.9917494067749999,-4.534120521266187,0.880859375,-9.35543257994263,0.37862434104383447
model.layers.24.mlp.gate_proj.weight,14336x4096,cheb,-0.8120881793668567,0.5274224171545776,1.781050738164873,0.01855798712983414,-1.0869746325981287,0.9305335719581765,3.162835476365324,0.18027898226791267,1.7559352709782867,0.24139358928859078,1.5837920352369903,0.40762762290306703,3.649419332251478,0.8259403751000001,3.5379561146304286,1.016418310000006,4.8104068155273865,1.266764957974999,-1.2839766558197172,0.91455078125,-2.374514509619687,0.46926058957217387
model.layers.24.mlp.up_proj.weight,14336x4096,cheb,0.9872592227598851,0.5351293236090618,-0.16057793657271768,0.01244349998834221,0.42317598421475106,0.9625016974311101,0.3251004153621914,0.17451499520306762,0.992593616050682,0.23853189551518741,1.6487678377956094,0.40838446740191936,2.127162673781439,0.8009710598999966,0.917922483816392,0.9338959097749893,2.4227469232805903,1.1562369799750059,-1.2962941601925082,0.914306640625,-2.4831860254620577,0.46774758453327686
model.layers.24.mlp.down_proj.weight,4096x14336,gauss,1.0884493653801735,0.5365626538456746,-1.1669789802373607,0.009400183341960133,0.7944359726093797,0.9821296433856174,1.0258108025357877,0.1759804617175577,0.3842870406918699,0.2357895955011202,-2.095421782440688,0.36393970813520354,-0.5963310468199191,0.7505505518999982,nan,nan,nan,nan,-4.6615484038352575,0.895263671875,-4.242829475495924,0.4353172653649384
model.layers.31.self_attn.q_proj.weight,4096x4096,cheb,0.021915658350902454,0.5313963003249179,0.7984494460464864,0.015211303283712674,-0.5479690717465644,0.9435309261012145,1.1314042033658802,0.17688151731487348,1.3872541865356687,0.24199756780074336,1.4529016201842229,0.4054839043354845,0.9994987542101563,0.7904087103999977,0.2682824519674272,0.908870521975004,1.5589734177320518,1.110283163974998,-1.4576434856211258,0.932861328125,-2.5245174360335376,0.47741440553411757
model.layers.31.self_attn.k_proj.weight,1024x4096,cheb,-1.1928994015769907,0.5215803054330281,0.9296392118338078,0.026972989707579442,-1.1275998239225995,0.903873395473122,1.9145848716873128,0.18245432725722058,1.70885295036946,0.24731029969949786,-1.1112703028337125,0.37046172315574166,0.38659372104187695,0.7742712557750018,-1.2487357376467667,0.8346489110999897,-0.9226085834566091,0.9490271836000375,-6.82384257929102,0.8837890625,-5.246144347921149,0.4348216474739854
model.layers.31.self_attn.v_proj.weight,1024x4096,cheb,-2.6683623363137206,0.509072818634313,1.6284013745245247,0.030431382969257292,-2.027065490235289,0.8628958928222791,0.6353970047442172,0.17718667238823285,-0.5001241197731927,0.23216609315130843,-0.6761317883944477,0.3786454576539906,-0.055816301140172726,0.7594639974999957,-0.5077207229498181,0.8764977375999905,-0.2272093298639931,1.0073160870999232,-6.432342718172774,0.8876953125,-5.6712428486926205,0.4295519824141701
model.layers.31.self_attn.o_proj.weight,4096x4096,cheb,0.0006897789000793642,0.5312804666859571,-1.6506486195015828,0.0071076127819103,1.0757737897293926,0.9906188383514278,-1.0121673263498634,0.17128798071291265,-1.135718370705517,0.2314497546204762,-1.3087653849843788,0.3729262698551876,-1.3299350321472123,0.7400180039000013,-0.8670658180164768,0.8707470759000131,-0.17895696664446492,1.024620694374903,-14.861261744206182,0.706298828125,-17.835966009749274,0.2559771661349743
model.layers.31.mlp.gate_proj.weight,14336x4096,cheb,-1.10516100455678,0.526167137131709,-0.11700022044974,0.012580732914676873,-0.11210514923836287,0.9511704207710129,-0.6237762152456182,0.1725876438093037,-0.6323772209954387,0.23244003756885542,-0.6840054332306176,0.38121209633881276,-0.024484792299811597,0.7656779551000028,0.48533260846081616,0.920270758400008,0.33038707068164797,1.0593788367750108,-2.3679170406253136,0.89306640625,-6.671207874062203,0.4094388537603122
model.layers.31.mlp.up_proj.weight,14336x4096,cheb,-0.15604627531445564,0.530232354567874,0.3387744451055062,0.014016037392929892,0.5889092314294929,0.9660100767828196,-1.075791059368147,0.17166951450595738,0.2616558808358741,0.2357916808916213,1.8134255057790356,0.41030241601201434,2.1023272668799713,0.8005636889750001,1.9909128141731425,0.9676915589750195,2.776893061845337,1.1726308795999785,-2.515727093098804,0.89013671875,-6.7154190975511066,0.4088233124807414
model.layers.31.mlp.down_proj.weight,4096x14336,cheb,-1.5984998804582495,0.5232225594945902,1.929676662274947,0.019653127392346093,-1.735934028808474,0.9070473528502667,2.1197978855835387,0.17882773835262036,1.3605974298281494,0.2398055797088446,0.841964352094443,0.39802310534628466,0.5260526446442708,0.7756355055999968,1.1502949669443856,0.9371496959000183,1.24742818216809,1.0993206400000304,-45.41229964870678,0.329345703125,-25.323979462453323,0.08130637172238414
