matrix,control,z_r_statistic_mean,z_unfold_mean_spacing,z_unfold_frac_nonpositive,z_nn_KS_GOE,z_nn_KS_Poisson,z_delta3_L5,z_delta3_L10,z_delta3_L50,z_sigma2_L5,z_sigma2_L10,z_sigma2_L20,n_levels,branch,r_statistic_mean,unfold_mean_spacing,unfold_frac_nonpositive,unfold_n_levels,nn_KS_GOE,nn_KS_Poisson,brody_beta,delta3_L5,delta3_L10,delta3_L50,sigma2_L5,sigma2_L10,sigma2_L20
model_layers_8_self_attn_q_proj_weight.npy,real,0.06592283291294156,-0.3687573590900503,nan,0.6578545151297241,-0.4013246292596736,-0.012248875387301742,0.3043842828982513,1.769399502665132,0.923656392679427,2.6152659185224003,6.838729999145712,4096,cheb,0.5311585916852002,1.0008814829587387,0.0,4096,0.014541049448374394,0.21047631214259094,nan,0.17356334579962246,0.2376151006902946,0.41139745798955857,0.7965654209749999,1.0065096316000108,1.4131746577750164
model_layers_8_self_attn_q_proj_weight.npy,entry_shuffle,1.2173884874712217,-0.9922653668120409,nan,-1.6204863035203234,0.7566105660786299,-1.3807479202462283,-1.7059021554932596,-0.32098862372368997,-1.0311978306420202,-0.5980568458495185,-0.29641708286973734,4096,cheb,0.5373623927831259,1.000622337235354,0.0,4096,0.006991784847743432,0.21654882551727597,nan,0.16977539078143558,0.2281112443181841,0.3856071724587488,0.7542198399999975,0.8958086993749816,1.0557497743749877
model_layers_8_self_attn_q_proj_weight.npy,row_shuffle,-1.0509732556567521,7.061349776708294,nan,2.163392641794759,-2.0798030079280934,1.3608896176371432,1.4050848165423404,5.439402281846666,5.671371771902794,11.244289343794788,16.63100876948459,4096,cheb,0.5251410425267794,1.0039696237118416,0.0,4096,0.019529638333538185,0.2016739349071311,nan,0.17736414263967704,0.24281878688181507,0.45667633150548653,0.8994092871000028,1.3037847599999992,1.903704713774971
model_layers_8_self_attn_q_proj_weight.npy,col_shuffle,0.15079910653138168,1.573882836853122,nan,0.7500035646264702,0.5952907317751991,1.2490733125580773,0.6627084908355492,1.2386410536842611,0.7087466300432242,1.2536396770488187,0.6546485086651008,4096,cheb,0.5316158832399916,1.0016888934372234,0.0,4096,0.014846384607913765,0.2157028223425272,nan,0.17705463922019674,0.23930911888683137,0.4048491946434816,0.7919100975000006,0.9596007757749874,1.1033920309749874
model_layers_8_self_attn_q_proj_weight.npy,gaussian_match,-0.4498183272349614,0.9769078621558477,nan,-1.0088808397994065,0.6249732029231729,-0.585043824930316,0.0023889254067821926,1.2117521086755112,1.3092150362728792,0.6730721375406458,0.7527992770955585,4096,cheb,0.5283799108249374,1.0014407755145271,0.0,4096,0.009018334799807473,0.21585848494244247,nan,0.17197787044860588,0.23618738350142496,0.4045174507148573,0.8049172993749956,0.9395998693750016,1.108308751900097
