shape,n_levels,kind,reps,bulk_frac,statistic,null_mean,null_sd,p2.5,p97.5,asymptote,asymptote_in_band,branches
14336x4096,4096.0,wishart,40,1.0,nn_KS_Poisson,0.21432222139717894,0.0036788266507401593,0.20727351967824634,0.21988100192448856,nan,-,cheb
14336x4096,4096.0,wishart,40,1.0,brody_beta,0.9558677562601897,0.021655994727412965,0.9168944358743258,0.9936624061082073,1.0,NO,cheb
14336x4096,4096.0,wishart,40,1.0,delta3_L5,0.17269768455962614,0.0020064342233483416,0.16996145904517954,0.177110942706585,0.15611872887617861,NO,cheb
14336x4096,4096.0,wishart,40,1.0,delta3_L10,0.23434366097422715,0.0035648998720465234,0.22853744420136485,0.23935316604587334,0.2263492216488615,NO,cheb
14336x4096,4096.0,wishart,40,1.0,delta3_L50,0.39149967016183074,0.01160756794784963,0.36848559005634374,0.4094484959791268,0.38941937593553777,yes,cheb
14336x4096,4096.0,wishart,40,1.0,sigma2_L5,0.7848346183806246,0.017123445945102678,0.7619707126131234,0.821212319350003,0.7681827841428772,yes,cheb
14336x4096,4096.0,wishart,40,1.0,sigma2_L10,0.9628113576099991,0.03450845129932672,0.9182187375200037,1.0382766637031102,0.9086437696882431,NO,cheb
14336x4096,4096.0,wishart,40,1.0,sigma2_L20,1.1872363211112487,0.06674259372779902,1.0895747641400106,1.3281326737549703,1.0491047552336088,NO,cheb
14336x4096,,wishart,8,,pt_frac_random,0.94,0.019820624179302263,0.9085000000000001,0.9632499999999999,0.95,,
14336x4096,,wishart,8,,pt_p_mean,0.5023203328741797,0.013922737960990934,0.4852133619599084,0.5213064464019032,0.5,,
4096x14336,4096.0,wishart,40,1.0,n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,r_statistic_mean,0.5311587493048507,0.004964773477484063,0.5205006034028223,0.5406402435907675,0.5307,yes,cheb
4096x14336,4096.0,wishart,40,1.0,unfold_mean_spacing,1.0029060684713682,0.00048815211252024486,1.0021548775154474,1.0037059873237169,1.0,NO,cheb
4096x14336,4096.0,wishart,40,1.0,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,unfold_n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,nn_KS_GOE,0.012971647834905582,0.003352822664603059,0.007738752960957743,0.019688479584926543,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,nn_KS_Poisson,0.21428522451299115,0.0048993058150731605,0.2053753436693665,0.224048045346959,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,brody_beta,0.9606001302465037,0.03033066386117833,0.9085659965618392,1.0150471882794743,1.0,yes,cheb
4096x14336,4096.0,wishart,40,1.0,delta3_L5,0.1731246396806933,0.0025078070952846104,0.16789499151131235,0.1766989091294461,0.15611872887617861,NO,cheb
4096x14336,4096.0,wishart,40,1.0,delta3_L10,0.23398484102975664,0.00436701316008502,0.22835874844298718,0.24082379031197415,0.2263492216488615,NO,cheb
4096x14336,4096.0,wishart,40,1.0,delta3_L50,0.39021465891223883,0.011849287244212622,0.3675274424768393,0.4075387629233169,0.38941937593553777,yes,cheb
4096x14336,4096.0,wishart,40,1.0,sigma2_L5,0.781566865184375,0.021253792117663185,0.748457582062498,0.8218181302499956,0.7681827841428772,yes,cheb
4096x14336,4096.0,wishart,40,1.0,sigma2_L10,0.9541183441393756,0.030818253083439592,0.9020196931125198,0.9971234229806214,0.9086437696882431,yes,cheb
4096x14336,4096.0,wishart,40,1.0,sigma2_L20,1.1704205451350063,0.05903838395982424,1.065168301050015,1.272384889160064,1.0491047552336088,NO,cheb
4096x14336,,wishart,8,,pt_frac_random,0.96,0.013887301496588256,0.937625,0.97825,0.95,,
4096x14336,,wishart,8,,pt_p_mean,0.5065661229994864,0.016792769552969152,0.48570955679945,0.5318408430294845,0.5,,
