shape,n_levels,kind,reps,bulk_frac,statistic,null_mean,null_sd,p2.5,p97.5,asymptote,asymptote_in_band,branches
14336x4096,4096.0,wishart,40,1.0,nn_KS_Poisson,0.21378821485188118,0.0035822405472821814,0.20703486098295845,0.21926919063117103,nan,-,cheb
14336x4096,4096.0,wishart,40,1.0,brody_beta,0.9535435558988039,0.021168832510495682,0.9158208772973828,0.9932438190800309,1.0,NO,cheb
14336x4096,4096.0,wishart,40,1.0,delta3_L5,0.17385465357545246,0.0020311928143170238,0.1690246333931214,0.17725104501332517,0.15611872887617861,NO,cheb
14336x4096,4096.0,wishart,40,1.0,delta3_L10,0.23481075839102306,0.003748902938717225,0.22739750634657876,0.2411709320092001,0.2263492216488615,NO,cheb
14336x4096,4096.0,wishart,40,1.0,delta3_L50,0.3891794584788749,0.011648097738685513,0.3676596416897597,0.4105639343246323,0.38941937593553777,yes,cheb
14336x4096,4096.0,wishart,40,1.0,sigma2_L5,0.7660795749537501,0.01640282869585155,0.7426008162156232,0.7952234381656232,0.7681827841428772,yes,cheb
14336x4096,4096.0,wishart,40,1.0,sigma2_L10,0.9049843852456256,0.03149669502500897,0.8478088185474985,0.9656497955956247,0.9086437696882431,yes,cheb
14336x4096,4096.0,wishart,40,1.0,sigma2_L20,1.0440847762606296,0.04629134088942041,0.9930812053500929,1.1316956487218106,1.0491047552336088,yes,cheb
14336x4096,,wishart,8,,pt_frac_random,0.94,0.019820624179302263,0.9085000000000001,0.9632499999999999,0.95,,
14336x4096,,wishart,8,,pt_p_mean,0.5023203328741797,0.013922737960990934,0.4852133619599084,0.5213064464019032,0.5,,
4096x14336,4096.0,wishart,40,1.0,n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,r_statistic_mean,0.5311587493048507,0.004964773477484063,0.5205006034028223,0.5406402435907675,0.5307,yes,cheb
4096x14336,4096.0,wishart,40,1.0,unfold_mean_spacing,1.0002279593446954,0.0003266424425692453,0.9996863452636283,1.0008247836399111,1.0,yes,cheb
4096x14336,4096.0,wishart,40,1.0,unfold_frac_nonpositive,0.0,0.0,0.0,0.0,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,unfold_n_levels,4096.0,0.0,4096.0,4096.0,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,nn_KS_GOE,0.01326401954902479,0.0033109732672980635,0.007370114480940375,0.019553463322237407,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,nn_KS_Poisson,0.2137521879299209,0.004980493965402778,0.2043120757963543,0.22379077642343698,nan,-,cheb
4096x14336,4096.0,wishart,40,1.0,brody_beta,0.9585567775700377,0.02967245521140365,0.9070470432789075,1.0115055476192298,1.0,yes,cheb
4096x14336,4096.0,wishart,40,1.0,delta3_L5,0.1733106247740373,0.002602660195155496,0.16847519898825392,0.17830720377189585,0.15611872887617861,NO,cheb
4096x14336,4096.0,wishart,40,1.0,delta3_L10,0.23420885775232186,0.004113429758006852,0.22715248233649293,0.24045363871709857,0.2263492216488615,NO,cheb
4096x14336,4096.0,wishart,40,1.0,delta3_L50,0.38825353330650003,0.011603308400744231,0.36740078290073336,0.40749679386297505,0.38941937593553777,yes,cheb
4096x14336,4096.0,wishart,40,1.0,sigma2_L5,0.7638783798193748,0.022349713285012552,0.7261353197743797,0.8088996002031279,0.7681827841428772,yes,cheb
4096x14336,4096.0,wishart,40,1.0,sigma2_L10,0.9017685350681269,0.030758337512226952,0.8467532484143835,0.9481347784468841,0.9086437696882431,yes,cheb
4096x14336,4096.0,wishart,40,1.0,sigma2_L20,1.034583058475627,0.051896840595573465,0.947963373379956,1.1396293122369088,1.0491047552336088,yes,cheb
4096x14336,,wishart,8,,pt_frac_random,0.96,0.013887301496588256,0.937625,0.97825,0.95,,
4096x14336,,wishart,8,,pt_p_mean,0.5065661229994864,0.016792769552969152,0.48570955679945,0.5318408430294845,0.5,,
