case,p_mc_KS,z_r_statistic_mean,z_nn_KS_GOE,z_brody_beta,z_delta3_L10,z_sigma2_L10,r_statistic_mean,nn_KS_GOE,brody_beta,delta3_L10,sigma2_L10
null: iid Gaussian,0.3582089552238806,1.4051768821830335,-0.06604631510760332,-0.4922557081576134,2.1942782839773116,0.9661752930792913,0.5352960282015766,0.01387593901535411,0.9384588164879043,0.24470358573833362,0.9455988774999895
+20 rank-1 spikes (amp 3),0.6766169154228856,0.8555766595426809,-0.8032622627956244,0.9754521780315106,0.3322556303706978,4.40151841381807,0.5332222193852536,0.011242893734727755,0.9772037213010579,0.2372969213195023,1.0383735804000054
2 independent blocks,0.004975124378109453,-28.147916804550583,27.803021209541605,-20.896692918365158,27.40693363609796,22.46888193502967,0.42378321632036015,0.11341328211185531,0.399817588955799,0.3449932771333887,1.526299887600004
95% GOE + 5% Poisson,0.004975124378109453,-1.94510398098165,3.9090979013558544,-4.792973646672371,5.938109280573289,138.5851411740668,0.5226543994230968,0.02807358999101861,0.8249274328086692,0.2595956171424067,4.662129722974996
90% GOE + 10% Poisson,0.004975124378109453,-4.517302171850399,6.51472198809034,-6.140668286088052,14.133077119290578,25.106406185906682,0.5129487132428269,0.03737985395095936,0.7893506664693286,0.2921931672242639,1.5975287343750182
80% GOE + 20% Poisson,0.004975124378109453,-12.100281057928916,16.50374734429309,-13.34349480189922,31.365364691850488,44.479687186517886,0.48433582733023967,0.07305672197679469,0.5992087244883735,0.3607389343616993,2.1207225831000045
80% sparse,0.029850746268656716,-0.7151056780003319,1.7924686116312913,-0.9671060163359844,-0.19627984841276244,1.3273680912823378,0.527295557158679,0.020513823033151246,0.9259236041585369,0.23519453823774283,0.955353231974982
Student-t(3) entries,0.7412935323383084,1.7448302813507415,-1.053298308362651,1.7552325093865897,-1.292748617215202,50.10652393934506,0.5365776437917308,0.010349863365768153,0.9977885495204989,0.23083305735000034,2.272680652399984
