name,shape,unfold_method_used,z_r_statistic_mean,r_statistic_mean,z_nn_KS_GOE,nn_KS_GOE,z_delta3_L5,delta3_L5,z_delta3_L10,delta3_L10,z_delta3_L50,delta3_L50,z_sigma2_L5,sigma2_L5,z_sigma2_L10,sigma2_L10,z_sigma2_L20,sigma2_L20
model.layers.0.self_attn.q_proj.weight,400x400,cheb,1.1486993031016448,0.5573958506824571,1.1596217753022773,0.05071620584500902,-1.0342267500401414,0.16153837142240052,-0.9876729532847078,0.21552157535864155,nan,nan,-0.6788864938949126,0.6951466767749999,0.001866316501693168,0.8622313639750132,nan,nan
model.layers.1.self_attn.q_proj.weight,400x400,cheb,2.3107810031636666,0.5793693340531008,1.2429546748152043,0.051554354794245416,-1.4025976797860678,0.15807452523543575,-0.5734531239380999,0.22180471378145786,nan,nan,1.0572406317510683,0.8171249827749989,0.8427684018870087,0.9551355055999977,nan,nan
model.layers.2.self_attn.q_proj.weight,400x400,cheb,0.5491307115744422,0.5460587730270908,0.38070942645532985,0.04288203026070636,-1.2440029583991736,0.15956581479329426,-1.0447840912046296,0.2146552788667487,nan,nan,-0.1272097328822347,0.7339068549750003,0.5284239085401341,0.9204062477749915,nan,nan
model.layers.3.self_attn.q_proj.weight,400x400,cheb,-0.22534795469180752,0.5314143688572193,0.07512297382903849,0.0398084906903009,0.2674491293028511,0.1737782217125308,0.7096911631865863,0.24126822711728163,nan,nan,-0.041922205411347536,0.7398990591000043,0.2626525608539075,0.8910434249750097,nan,nan
model.layers.9.self_attn.q_proj.weight,400x400,cheb,-4.2989894042761305,0.45438700266977444,7.561305652104944,0.11510331641054722,6.049745328132142,0.22815000575648386,6.938404262772325,0.3357491375614761,nan,nan,7.352624264301153,1.2594314359000016,6.068613346677723,1.532494804975002,nan,nan
