case,p_mc_KS,z_r_statistic_mean,z_nn_KS_GOE,z_brody_beta,z_delta3_L10,z_sigma2_L10,r_statistic_mean,nn_KS_GOE,brody_beta,delta3_L10,sigma2_L10
null: iid Gaussian,0.6831683168316832,3.3123921392810716,-0.685416792310326,3.54654987926473,-4.100560333220466,1.4235918407900696,0.5562775818104395,0.02926796408442328,1.1006093677109245,0.20768948933514253,0.9178428243750147
+20 rank-1 spikes (amp 3),0.13861386138613863,0.8609097889658196,1.6162792293345973,-1.6205475548408597,1.7042186784614541,49.7307423843116,0.5295032979540993,0.045071149475060024,0.8184478273688374,0.24911777804367427,3.3760887003999898
2 independent blocks,0.009900990099009901,-9.881832667632269,13.695557330300488,-9.96256388627748,15.569641730011664,9.597850610359618,0.412174598487213,0.1280061110944492,0.36291235360348945,0.3480743012962479,1.3338130830999972
95% GOE + 5% Poisson,0.5544554455445545,1.2927999238624994,-0.4052798997941901,1.8741139965590858,-1.4402506740913323,2.221307967409967,0.5342202599444599,0.031191352405712358,1.0092820624286918,0.22667592730129066,0.9584368638999763
90% GOE + 10% Poisson,0.1485148514851485,-1.42002676064994,1.4229813294229243,-1.2907355204993833,3.1220538497025467,6.7678330329749485,0.5045916592348322,0.043743987886736196,0.8364579912606388,0.2592367652948818,1.189799640775007
80% GOE + 20% Poisson,0.009900990099009901,-3.409829866022122,6.710922720172103,-4.4957238451258394,9.998540570781136,43.88986747510392,0.4828596842301535,0.08005039731134367,0.6614420458507488,0.30831375454941073,3.0788592737750093
80% sparse,0.8613861386138614,3.37369170107319,-1.0996093165620886,1.1046858088079827,1.4520199121246116,-0.9965192687715243,0.5569470754608753,0.026424164909114034,0.9672656217853479,0.24731785365676623,0.7946886311000014
Student-t(3) entries,0.1188118811881188,3.4397578225516816,1.7847694250942674,-0.012759002645544729,0.7713687533992295,0.9260983159629809,0.5576686279083262,0.04622798416350504,0.9062449127184251,0.2424600954791123,0.8925264604000063
