shape,bulk_frac,reps,branches,n_levels_mean,n_levels_sd,r_statistic_mean_mean,r_statistic_mean_sd,unfold_mean_spacing_mean,unfold_mean_spacing_sd,unfold_frac_nonpositive_mean,unfold_frac_nonpositive_sd,unfold_n_levels_mean,unfold_n_levels_sd,nn_KS_GOE_mean,nn_KS_GOE_sd,nn_KS_Poisson_mean,nn_KS_Poisson_sd,delta3_L5_mean,delta3_L5_sd,delta3_L10_mean,delta3_L10_sd,delta3_L50_mean,delta3_L50_sd,sigma2_L5_mean,sigma2_L5_sd,sigma2_L10_mean,sigma2_L10_sd,sigma2_L20_mean,sigma2_L20_sd
512x512,0.6,12,{'cheb': 12},308.0,0.0,0.5285899869180647,0.014779942123784395,1.0003098163795145,0.0024620756520926405,0.0,0.0,308.0,0.0,0.04059019746282441,0.009654172461348304,0.22659645163599906,0.018438446414834917,0.1756590177901084,0.008369669721130787,0.2420026559596062,0.013941506810550591,0.37867430774076133,0.03912913490014923,0.7561334861812501,0.07749188043435655,0.8685257976208357,0.10970237164448027,0.879475566810432,0.10484787561127433
512x512,0.7,12,{'cheb': 12},360.0,0.0,0.5332439139863471,0.014128231351561,1.000683999082525,0.003121278661027088,0.0,0.0,360.0,0.0,0.038172995015890165,0.012115907495809106,0.2281924189328568,0.017112134016198113,0.174040839600592,0.007075121474627051,0.23366664303220133,0.0092207820080426,0.3815441930429726,0.03760968224730478,0.7533339556000008,0.05583241894384242,0.8747184054479185,0.09159529036483713,0.9498540138895825,0.13589109873392152
512x512,0.8,12,{'cheb': 12},410.0,0.0,0.5319721455985645,0.011433125614214001,0.9996875071095395,0.0018047816801008189,0.0,0.0,410.0,0.0,0.037499692737692845,0.010433534684285244,0.22609650226944014,0.013306847730252818,0.17476689461962555,0.0058251392678155735,0.23586753259232282,0.006630296319690423,0.3847240763024043,0.03294241111398241,0.7613911194999989,0.058150064177784636,0.8939602073458394,0.09568275767275602,0.9884180025979438,0.12796421132015354
512x512,1.0,12,{'cheb': 12},512.0,0.0,0.5317600925532627,0.011417790835780418,0.9994948023952563,0.001745049612428115,0.0,0.0,512.0,0.0,0.03310602211816267,0.009271845596161869,0.22525385273733325,0.009809600342157153,0.17222874970810045,0.005741014575448439,0.23818577888339562,0.007564148723870859,0.3899457149462935,0.028012385401170743,0.7617306499770843,0.03518793010911492,0.9018244776520822,0.0701602371595042,1.0196853900916665,0.10307137782602126
